,language_initial,koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans,Family,language
74,Avar ,397.0,Verkhnee Inkho,Верхнее Инхо,Avar,,Avar,,True,Инхо верхнее (Тад-инху),"Верхнее Инхо (Тад-Инхо, Инху)",Инхо Верхн.,Верхнее Инхо,399.0,423.0,380.0,1030.0,42.706590000000006,46.50415,Daghestan,,633.350402832031,,not_kutan,Avar,Avar 
75,Avar ,39.0,Verkhnie Akhalchi,Верхние Ахалчи,Avar,,Avar,,True,,,Тад-Ахалчи,,,,139.0,,42.599109999999996,46.63581,Daghestan,,1862.80895996094,,not_kutan,Avar,Avar 
76,Avar ,169.0,Verkhniy Aradirikh,Верхний Арадирих,Avar,,Avar,,True,Харадерик верхний (Таса-Харадерик),Верхний Харадырикъ (Таса Х.),В. Харадырых,Верхний Арадирих,276.0,260.0,267.0,495.0,42.67099,46.60372,Daghestan,,1882.21154785156,,not_kutan,Avar,Avar 
77,Avar ,59.0,Verkhniy Batlukh,Верхний Батлух,Avar,,Avar,,True,Бактлук верхний (Таса-Бактлук),Верхний Бахлухъ (Таса),Бактлух верх.,Верхний Батлух,234.0,239.0,268.0,455.0,42.496276,46.502217,Daghestan,,1591.95349121094,,not_kutan,Avar,Avar 
78,Avar ,701.0,Verkhniy Dzhengutay,Верхний Дженгутай,Avar,,Avar,,True,Джентугай верхний (Таса-Жунгут),"Дженгутай Малый, Вехний (Иогары-Дженгутай, по-кумыкски Вехний Дженгутай; Таса-Жунгут, по-аварски Верхний Дженгутай)",Дженгутай В.,Верхний Дженгутай,1856.0,1756.0,1479.0,2145.0,42.67476,47.23415,Daghestan,,742.3504028320309,,not_kutan,Avar,Avar 
79,Avar ,817.0,Verkhniy Karanay,Верхний Каранай,Avar,,Avar,,True,Каранай верхний,Каранай Верхний (Новый),Каранай Верх.,Верхний Каранай,778.0,850.0,1161.0,737.0,42.8281,46.9072,Daghestan,,1230.20056152344,,not_kutan,Avar,Avar 
80,Avar ,1011.0,Verkhniy Kolob,Верхний Колоб,Avar,,Avar,,True,,,Керта-Коло,Верхний Колоб,,,159.0,81.0,42.426140000000004,46.6579,Daghestan,,1733.33654785156,,not_kutan,Avar,Avar 
81,Avar ,4235.0,Gagar,Гагар,Avar,,Avar,,True,"Гагар (Агар, Гагаб)","Гагаръ (Агагаръ, Гагабъ)",Гагор,Гагар,247.0,248.0,181.0,659.0,41.999252,46.592744,Daghestan,,2145.80590820312,,not_kutan,Avar,Avar 
82,Avar ,275.0,Gadari,Гадари,Avar,,Avar,,True,Гадари (Кадари),Гадари,Гадари,Гадари,359.0,355.0,306.0,254.0,42.807303000000005,46.621237,Daghestan,,1272.22509765625,,not_kutan,Avar,Avar 
83,Avar ,1279.0,Gamsutl',Гамсутль,Avar,,Avar,,True,Гамсутль,Гамсутль (Гансутль),Гамсутль,Гамсутль,204.0,222.0,227.0,6.0,42.301972,46.996315,Daghestan,,1646.52697753906,,not_kutan,Avar,Avar 
